game_key,bot_a,bot_b,game_index,swapped,winner,winner_raw,num_moves,time
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__8,AlphaBeta-new-d3,MCTS-old-100,8,False,draw,0,50,73.03034520149231
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__9,AlphaBeta-new-d3,MCTS-old-100,9,True,MCTS-old-100,1,9,10.821923732757568
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__10,AlphaBeta-new-d3,MCTS-old-100,10,False,MCTS-old-100,-1,6,7.46873664855957
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__11,AlphaBeta-new-d3,MCTS-old-100,11,True,MCTS-old-100,1,11,11.991429567337036
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__12,AlphaBeta-new-d3,MCTS-old-100,12,False,MCTS-old-100,-1,6,5.294921875
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__13,AlphaBeta-new-d3,MCTS-old-100,13,True,AlphaBeta-new-d3,-1,8,9.625008821487427
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__14,AlphaBeta-new-d3,MCTS-old-100,14,False,MCTS-old-100,-1,6,6.645934581756592
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__15,AlphaBeta-new-d3,MCTS-old-100,15,True,MCTS-old-100,1,19,26.470346212387085
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__16,AlphaBeta-new-d3,MCTS-old-100,16,False,MCTS-old-100,-1,8,9.899613380432129
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__17,AlphaBeta-new-d3,MCTS-old-100,17,True,MCTS-old-100,1,11,12.359886646270752
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__18,AlphaBeta-new-d3,MCTS-old-100,18,False,MCTS-old-100,-1,22,34.99184012413025
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__19,AlphaBeta-new-d3,MCTS-old-100,19,True,MCTS-old-100,1,5,4.067804574966431
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__20,AlphaBeta-new-d3,MCTS-old-100,20,False,MCTS-old-100,-1,17,26.3490948677063
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__21,AlphaBeta-new-d3,MCTS-old-100,21,True,MCTS-old-100,1,5,5.448511123657227
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__22,AlphaBeta-new-d3,MCTS-old-100,22,False,AlphaBeta-new-d3,1,4,4.809999227523804
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__23,AlphaBeta-new-d3,MCTS-old-100,23,True,MCTS-old-100,1,11,13.563276290893555
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__24,AlphaBeta-new-d3,MCTS-old-100,24,False,MCTS-old-100,-1,8,8.793749570846558
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__25,AlphaBeta-new-d3,MCTS-old-100,25,True,MCTS-old-100,1,23,35.250159740448
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__26,AlphaBeta-new-d3,MCTS-old-100,26,False,AlphaBeta-new-d3,1,6,7.579374074935913
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__27,AlphaBeta-new-d3,MCTS-old-100,27,True,MCTS-old-100,1,7,7.0889527797698975
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__28,AlphaBeta-new-d3,MCTS-old-100,28,False,MCTS-old-100,-1,6,5.914763450622559
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__29,AlphaBeta-new-d3,MCTS-old-100,29,True,MCTS-old-100,1,15,20.053524255752563
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__30,AlphaBeta-new-d3,MCTS-old-100,30,False,MCTS-old-100,-1,10,11.596711874008179
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__31,AlphaBeta-new-d3,MCTS-old-100,31,True,MCTS-old-100,1,11,12.153470516204834
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__32,AlphaBeta-new-d3,MCTS-old-100,32,False,MCTS-old-100,-1,6,6.065603971481323
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__33,AlphaBeta-new-d3,MCTS-old-100,33,True,AlphaBeta-new-d3,-1,14,17.58681344985962
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__34,AlphaBeta-new-d3,MCTS-old-100,34,False,MCTS-old-100,-1,6,6.486069917678833
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__35,AlphaBeta-new-d3,MCTS-old-100,35,True,MCTS-old-100,1,25,34.63610529899597
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__36,AlphaBeta-new-d3,MCTS-old-100,36,False,MCTS-old-100,-1,12,16.62726902961731
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__37,AlphaBeta-new-d3,MCTS-old-100,37,True,AlphaBeta-new-d3,-1,11,14.244178533554077
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__38,AlphaBeta-new-d3,MCTS-old-100,38,False,MCTS-old-100,-1,6,5.86860990524292
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__39,AlphaBeta-new-d3,MCTS-old-100,39,True,AlphaBeta-new-d3,-1,6,5.904685974121094
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__40,AlphaBeta-new-d3,MCTS-old-100,40,False,MCTS-old-100,-1,10,10.033981323242188
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__41,AlphaBeta-new-d3,MCTS-old-100,41,True,AlphaBeta-new-d3,-1,10,12.339049577713013
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__42,AlphaBeta-new-d3,MCTS-old-100,42,False,MCTS-old-100,-1,12,16.405646800994873
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__43,AlphaBeta-new-d3,MCTS-old-100,43,True,AlphaBeta-new-d3,-1,19,27.52930498123169
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__44,AlphaBeta-new-d3,MCTS-old-100,44,False,MCTS-old-100,-1,20,29.817395210266113
AlphaBeta-new-d3__VS__MCTS-old-100__GAME__45,AlphaBeta-new-d3,MCTS-old-100,45,True,MCTS-old-100,1,11,12.936241865158081
